row,dam,lat,lng,status,detail,search_radius,raw_ids
2298,若杉防災,33.28722222,131.3475,ok,cont-4:id=1880(Q3_v_ad),,[1880]
2299,長湯,33.07543735,131.38159668,ok,cont-4:id=2322(Q31_vas_ap); cont-5:id=1883(H_sad),500,[1883]
2300,芹川,33.13969444,131.4411111,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
2301,大分川,33.12762182,131.4979332,ok,cont-1:id=1591(K12_pam_a),,[1591]
2302,寒田溜池,33.17919339,131.6067449,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
2303,大蘇,32.99536192,131.20134475,ok,cont-4:id=1665(Q31_vis_ap),,[1665]
2304,大谷,32.85583891,131.26179079,ok,cont-4:id=1665(Q31_vis_ap),,[1665]
2305,黒岩溜池,32.99420727,131.57513467,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
2306,玉来,32.96646342,131.31482794,ok,cont-4:id=2336(Q2_vas_ap),,[2336]
2307,溜池1号,32.90530556,131.27975,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
2308,俵谷溜池,33.02027532,131.27350308,ok,cont-4:id=2322(Q31_vas_ap); cont-5:id=2309(Q32_vas_ap),1000,[2309]
2309,稲葉,32.99416138,131.2968503,ok,cont-4:id=1849(Q2_vis_ap),,[1849]
2310,溜池2号,32.90714888,131.28939581,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
2311,石場,32.97732855,131.65838784,ok,cont-1:id=1461(K11_soc),,[1461]
2312,野津,32.98053223,131.76152918,ok,cont-1:id=1929(J2-31_soss_J2),,[1929]
2313,師田原,33.07286593,131.52582712,ok,cont-1:id=1593(K21_soc),,[1593]
2314,戸保の木,33.20947978,131.79225049,ok,cont-1:id=419(K122-Pg12_mscpe_hc),,[419]
2315,大舞,33.20205066,131.79566706,ok,cont-1:id=419(K122-Pg12_mscpe_hc),,[419]
2316,阿曽田,33.21885114,131.83004364,ok,cont-1:id=419(K122-Pg12_mscpe_hc),,[419]
2317,志生木,33.22184285,131.83546111,ok,cont-1:id=419(K122-Pg12_mscpe_hc); cont-5:id=1883(H_sad),500,[1883]
2318,佐賀関,33.23543718,131.85414961,ok,cont-1:id=419(K122-Pg12_mscpe_hc),500,"[419, 175]"
2319,末広,33.14465885,131.72466382,ok,cont-1:id=175(K122-Pg12_mscma_hc),,[175]
2320,中の川,33.16528469,131.76855075,ok,cont-1:id=419(K122-Pg12_mscpe_hc),,[419]
2321,大堤池,33.11052515,131.76311739,ok,cont-1:id=1156(K21_sosma),,[1156]
2322,田井ヶ迫,33.094791,131.7860029,ok,cont-1:id=829(J1-22_sx_J1); cont-5:id=1883(H_sad),500,"[829, 1959, 1883]"
2323,家野,33.1007011,131.75671739,ok,cont-1:id=1446(P_pin_a),,[1446]
2324,野田,33.09483692,131.78604082,ok,cont-1:id=829(J1-22_sx_J1); cont-5:id=1883(H_sad),500,"[829, 1959, 1883]"
2325,乙見,33.06528836,131.73995891,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
2326,青江,33.07038356,131.80606902,ok,cont-1:id=829(J1-22_sx_J1),,[829]
2327,小中尾,32.90212673,131.94782284,ok,cont-1:id=1992(K212-22_soss_K2),,[1992]
2328,大中尾,32.89265702,131.9394238,ok,cont-1:id=1370(K212-22_somas_K2); cont-4:id=2322(Q31_vas_ap); cont-5:id=1883(H_sad),500,[1883]
2329,直川,32.86280225,131.78159928,ok,cont-1:id=819(K12-212_som_K1),,[819]
2330,床木,33.01638889,131.8612222,ok,cont-1:id=1929(J2-31_soss_J2),500,"[1929, 2041, 36]"
2331,黒沢,32.85083333,131.8386667,ok,cont-1:id=1971(K12-212_soss_K1),,[1971]
2332,桑野内,32.73031346,131.20617152,ok,cont-4:id=1849(Q2_vis_ap),,[1849]
2333,芋洗谷,32.71866967,131.28511607,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
2334,北川,32.79068442,131.60780551,ok,cont-1:id=1971(K12-212_soss_K1),500,"[1971, 1376]"
2335,星山,32.62149404,131.42735508,ok,cont-1:id=941(K212-22_somam_K2); cont-4:id=2322(Q31_vas_ap),500,"[941, 2322]"
2336,西畑（再）,32.67279977,131.44799662,ok,cont-1:id=1376(K12-212_somas_K1),,[1376]
2337,西畑（元）,32.67280571,131.4480022,ok,cont-1:id=1376(K12-212_somas_K1),,[1376]
2338,浜砂,32.6553177,131.62021371,ok,cont-1:id=52(J33-K212_vbs_o_K2),,[52]
2339,祝子,32.7178758,131.57478492,ok,cont-2:id=2141(N21_pim_a),,[2141]
2340,下赤,32.75024509,131.63027655,ok,cont-1:id=1971(K12-212_soss_K1),,[1971]
2341,沖田,32.55041685,131.61923119,ok,cont-1:id=2109(Pg14-3_soss_Pg2),,[2109]
2342,門川防災,32.50785681,131.64063572,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
2343,山須原（再）,32.49817336,131.36756323,ok,cont-1:id=1241(Pg14-3_sx_Pg2),,[1241]
2344,西郷（再）,32.4582283,131.40273867,ok,cont-1:id=1241(Pg14-3_sx_Pg2),500,"[1241, 56, 1006]"
2345,上椎葉,32.45995206,131.14943066,ok,cont-1:id=1376(K12-212_somas_K1),500,[1376]
2346,岩屋戸,32.46863006,131.21171426,ok,cont-1:id=1376(K12-212_somas_K1),,[1376]
2347,塚原,32.50513726,131.30032372,ok,cont-1:id=1376(K12-212_somas_K1),,[1376]
2348,諸塚,32.56002864,131.31990122,ok,cont-1:id=1376(K12-212_somas_K1),,[1376]
2349,山須原（元）,32.49830556,131.3677778,ok,cont-1:id=1241(Pg14-3_sx_Pg2),,[1241]
2350,西郷（元）,32.45852778,131.4028333,ok,cont-1:id=1241(Pg14-3_sx_Pg2),500,"[1241, 56, 1006]"
2351,大内原,32.42983333,131.4815278,ok,cont-1:id=2109(Pg14-3_soss_Pg2),,[2109]
2352,宮の元,32.56611863,131.27805854,ok,cont-1:id=892(K12-212_somam_K1),,[892]
2353,青鹿溜池,32.22361526,131.4823426,ok,cont-2:id=2141(N21_pim_a),,[2141]
2354,松尾,32.28413889,131.3710556,ok,cont-1:id=2109(Pg14-3_soss_Pg2),500,"[2109, 1007]"
2355,戸崎,32.24987812,131.38387445,ok,cont-1:id=1241(Pg14-3_sx_Pg2),,[1241]
2356,川原,32.21333333,131.417,ok,cont-1:id=1241(Pg14-3_sx_Pg2),,[1241]
2357,石河内,32.24147444,131.39035728,ok,cont-1:id=2109(Pg14-3_soss_Pg2),,[2109]
2358,大瀬内,32.2465888,131.36227461,ok,cont-1:id=1007(Pg14-3_som_Pg2),,[1007]
2359,かなすみ,32.24833633,131.35775109,ok,cont-1:id=1007(Pg14-3_som_Pg2),,[1007]
2360,渡川,32.35536178,131.34504754,ok,cont-1:id=1007(Pg14-3_som_Pg2),,[1007]
2361,切原,32.21818012,131.46704613,ok,cont-2:id=2362(N2_vas_ap),,[2362]
2362,高鍋防災,32.1213803,131.47605115,ok,cont-2:id=1364(N3_som); cont-3:id=1931(N3_sosma); cont-4:id=1405(Q31_std),500,"[1405, 1364, 1931]"
2363,一ツ瀬,32.20669317,131.30184558,ok,cont-1:id=1007(Pg14-3_som_Pg2),500,"[1007, 1006]"
2364,杉安,32.16275,131.3590556,ok,cont-1:id=1006(Pg14-3_somam_Pg2),,[1006]
2365,立花,32.13247222,131.2685556,ok,cont-1:id=2109(Pg14-3_soss_Pg2),,[2109]
2366,寒川,32.11573096,131.28571434,ok,cont-1:id=1006(Pg14-3_somam_Pg2),500,"[1006, 2109]"
2367,長谷,32.1462473,131.34103057,ok,cont-1:id=1006(Pg14-3_somam_Pg2),,[1006]
2368,東原調整池,32.15358602,131.41183508,ok,cont-4:id=1645(Q22_std),,[1645]
2369,大淀川第一,31.91891667,131.13433797,ok,cont-1:id=1331(Pg4-N211_somas_Pg4); cont-5:id=2297(Q33_vas_ap),500,"[1331, 1340, 2297, 1241]"
2370,谷川内,31.73427675,130.93994246,ok,cont-1:id=1992(K212-22_soss_K2),,[1992]
2371,中岳,31.64161845,131.09060114,ok,cont-1:id=2109(Pg14-3_soss_Pg2); cont-5:id=1883(H_sad),500,[1883]
2372,大淀川第二調整池,31.94024241,131.24009605,ok,cont-2:id=2389(N3_soss),,[2389]
2373,高岡,31.93767632,131.20589627,ok,cont-1:id=1339(Pg4-N211_sx_Pg4),,[1339]
2374,木之川内,31.86921111,131.00967369,ok,cont-1:id=1370(K212-22_somas_K2),,[1370]
