row,dam,lat,lng,status,detail,search_radius,raw_ids
3,北辰,45.31615403,141.8938668,ok,cont-2:id=2319(N1_soc),,[2319]
4,雄武,44.48086686,142.88431321,ok,cont-2:id=2024(N2_vis_al),,[2024]
5,武利,43.94185954,143.33958292,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
6,協栄,43.79269708,143.97487137,ok,cont-1:id=1869(Pg2_snc),,[1869]
7,鹿ノ子,43.60745738,143.38812142,ok,cont-2:id=2361(N3_sns); cont-5:id=1883(H_sad),500,[1883]
8,富里,43.85528702,143.75308326,ok,cont-1:id=858(J32-K111_vba_ol_Kn),,[858]
9,卯原内,43.97756271,144.06983501,ok,cont-1:id=1078(Pg4_som),,[1078]
10,古梅,43.69891701,144.22558038,ok,cont-4:id=2336(Q2_vas_ap),,[2336]
11,緑,43.6707744,144.63005927,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
12,牧の内,43.35821532,145.63890974,ok,cont-1:id=1213(K22_sosma),,[1213]
13,庶路,43.17417022,143.98427387,ok,cont-1:id=1991(Pg2_sns),,[1991]
14,岩松,43.19712966,142.93636115,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
15,屈足,43.14849021,142.90742457,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
16,富村,43.43305158,142.88404944,ok,cont-2:id=2368(N3_vas_ap),,[2368]
17,美生,42.80650517,142.85187238,ok,cont-1:id=1346(K214-Pg1_sosma_KPg),,[1346]
18,札内川,42.58796402,142.9233963,ok,cont-1:id=2085(K214-Pg1_soss_KPg),,[2085]
19,西札内,42.64103017,143.07047833,ok,cont-1:id=2085(K214-Pg1_soss_KPg),,[2085]
20,幌加,43.43074089,143.13262943,ok,cont-2:id=2376(N2_vas_al),,[2376]
21,佐幌,43.17026153,142.83855347,ok,cont-4:id=2355(Q12_vas_ap),,[2355]
22,十勝,43.24059251,142.93904031,ok,cont-1:id=1175(K214-Pg1_sx_KPg),,[1175]
23,糠南,43.39178042,143.32831657,ok,cont-2:id=2387(N3_vas_al),,[2387]
24,元小屋,43.34561111,143.2673056,ok,cont-2:id=2082(N3_vis_al),,[2082]
25,幕別,42.87359324,143.27799628,ok,cont-4:id=2415(Q1-21_sb),,[2415]
26,糠平,43.37292954,143.22132114,ok,cont-2:id=2082(N3_vis_al),,[2082]
27,活込,43.23325964,143.47910203,ok,cont-4:id=1405(Q31_std); cont-5:id=1406(Q32-33_std),500,"[1405, 1406, 2355]"
28,幌満川第3,42.12499108,143.06974443,ok,cont-1:id=461(Pg4_pu_a),,[461]
29,様似,42.18519444,142.95868459,ok,cont-1:id=1055(K_sx_Ki),,[1055]
30,浦河,42.23950186,142.82422383,ok,cont-1:id=919(K21_som); cont-5:id=1883(H_sad),500,[1883]
31,三石,42.38135916,142.69560479,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
32,高見,42.45760853,142.63737363,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
33,東の沢,42.47472021,142.7746389,ok,cont-1:id=1055(K_sx_Ki),,[1055]
34,双川,42.41800027,142.54625028,ok,cont-2:id=2124(N1_pim_a),,[2124]
35,春別,42.54652778,142.5921389,ok,cont-1:id=1862(K21_soss),,[1862]
36,静内,42.41409018,142.56673588,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
37,新冠,42.60635865,142.55670461,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
38,下新冠,42.56651047,142.53577414,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
39,岩清水,42.54351215,142.53695792,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
40,奥新冠,42.67397543,142.67789773,ok,cont-1:id=1055(K_sx_Ki),,[1055]
41,門別,42.54704461,142.20465323,ok,cont-2:id=2366(N3_soc),,[2366]
42,奥沙流,42.92663545,142.67005149,ok,cont-2:id=2140(N1_pin_a),,[2140]
43,平取,42.68030322,142.38624801,ok,cont-1:id=1175(K214-Pg1_sx_KPg); cont-5:id=1883(H_sad),500,[1883]
44,岩知志,42.79643117,142.3966423,ok,cont-1:id=54(K1-211_vbs_o_KPg),,[54]
45,二風谷,42.62926849,142.148492,ok,cont-2:id=2354(N2_soc); cont-5:id=1883(H_sad),500,[1883]
46,双珠別,42.95310138,142.54514489,ok,cont-1:id=39(J3-K11_vbs_o_Jb),,[39]
47,穂別,42.88450303,142.17945634,ok,cont-1:id=919(K21_som); cont-5:id=1883(H_sad),500,[1883]
48,厚幌,42.76633816,141.99356122,ok,cont-2:id=2354(N2_soc); cont-3:id=2094(N2_soi); cont-5:id=1883(H_sad),500,[1883]
49,厚真,42.79511111,142.037,ok,cont-2:id=2354(N2_soc); cont-5:id=1883(H_sad),500,[1883]
50,瑞穂,42.84081592,141.89706947,ok,cont-2:id=2094(N2_soi); cont-5:id=1883(H_sad),500,[1883]
51,幌別,42.421642,141.0803569,ok,cont-2:id=1931(N3_sosma); cont-5:id=1883(H_sad),500,[1883]
52,濁川,42.10025272,140.45044999,ok,cont-2:id=1269(N2_som),,[1269]
53,駒ヶ岳,42.06328552,140.50340225,ok,cont-2:id=1269(N2_som),,[1269]
54,常路川,41.97155033,140.82515435,ok,cont-2:id=2082(N3_vis_al),,[2082]
55,矢別,41.83914938,140.90818118,ok,cont-2:id=871(N2_vbs_ai),,[871]
56,笹流,41.83491667,140.7732778,ok,cont-2:id=1269(N2_som),,[1269]
57,中野（元）,41.87020115,140.78603418,ok,cont-2:id=2082(N3_vis_al),,[2082]
58,新中野（再）,41.87019961,140.78603705,ok,cont-2:id=2082(N3_vis_al),,[2082]
59,大野,41.95755909,140.51282243,ok,cont-2:id=2007(N3_vas_ai),,[2007]
60,上磯,41.86714088,140.59926419,ok,cont-4:id=1882(Q1-21_so),,[1882]
61,南部坂,41.85259604,140.59407753,ok,cont-4:id=1882(Q1-21_so),,[1882]
62,知内,41.61273669,140.30106652,ok,cont-2:id=1931(N3_sosma),,[1931]
63,甲子,44.05460672,142.64996991,ok,cont-1:id=1055(K_sx_Ki); cont-2:id=2319(N1_soc); cont-5:id=1883(H_sad),500,[1883]
64,西和,44.00329522,142.28715267,ok,cont-1:id=175(K122-Pg12_mscma_hc); cont-5:id=1883(H_sad),500,"[175, 1110, 803, 1862, 1883]"
65,忠烈布,44.28347756,142.51795937,ok,cont-2:id=2024(N2_vis_al); cont-4:id=2416(Q1-21_sn); cont-5:id=1883(H_sad),500,[1883]
66,風連,44.22172765,142.56241661,ok,cont-2:id=2024(N2_vis_al),,[2024]
67,岩尾内,44.11527778,142.7073333,ok,cont-1:id=53(P3-J2_vbs_o_Ki); cont-5:id=1883(H_sad),500,"[1883, 53, 1055]"
68,西岡,44.06333679,142.29695392,ok,cont-2:id=2024(N2_vis_al); cont-5:id=1883(H_sad),500,[1883]
69,北線,44.26628413,142.21666271,ok,cont-1:id=803(J3-K11_pu_o_Jb),,[803]
70,中和,43.98126548,142.37809864,ok,cont-2:id=2024(N2_vis_al); cont-5:id=1883(H_sad),500,[1883]
71,中の沢,44.21225,142.30757032,ok,cont-2:id=2024(N2_vis_al); cont-3:id=2389(N3_soss); cont-5:id=1883(H_sad),500,"[2024, 2389, 1883]"
72,温根別,44.09291387,142.22182029,ok,cont-1:id=803(J3-K11_pu_o_Jb),,[803]
73,武徳,44.20630564,142.4785,ok,cont-1:id=1055(K_sx_Ki); cont-2:id=2024(N2_vis_al); cont-5:id=1883(H_sad),500,"[2024, 1883, 1055]"
74,サンル,44.32911542,142.63260742,ok,cont-2:id=2024(N2_vis_al),,[2024]
75,ポンテシオ,43.97847361,142.75315652,ok,cont-2:id=2024(N2_vis_al); cont-5:id=1883(H_sad),500,[1883]
76,御料,44.24245275,142.50028734,ok,cont-2:id=2389(N3_soss); cont-4:id=1647(Q22_sn); cont-5:id=1883(H_sad),500,[1883]
77,民安,44.83166667,141.8141667,ok,cont-4:id=1882(Q1-21_so),,[1882]
78,有明,44.40116531,141.85057991,ok,cont-2:id=1587(N1_sosma),,[1587]
79,羽幌,44.34374646,141.92686074,ok,cont-1:id=919(K21_som),,[919]
80,羽幌二股,44.30277778,141.9427778,ok,cont-1:id=2032(Pg2_soss),,[2032]
81,上小川,44.25482351,141.84592101,ok,cont-2:id=1587(N1_sosma),,[1587]
82,三渓,44.18458381,141.78302872,ok,cont-2:id=1587(N1_sosma); cont-5:id=1406(Q32-33_std),500,[1406]
83,苫前,44.16818319,141.83062855,ok,cont-2:id=1587(N1_sosma),,[1587]
84,大椴,44.09117877,141.7255386,ok,cont-2:id=1587(N1_sosma),,[1587]
85,小平,44.06439285,141.90611903,ok,cont-1:id=1156(K21_sosma); cont-5:id=1406(Q32-33_std),500,[1406]
86,沖内,43.97711111,141.7691667,ok,cont-2:id=1144(N1_som),,[1144]
87,樽真布,43.92394444,141.8333333,ok,cont-2:id=1144(N1_som),,[1144]
88,留萌,43.83433318,141.76150477,ok,cont-2:id=2389(N3_soss),,[2389]
89,中幌,43.92710329,141.75498636,ok,cont-2:id=1144(N1_som),,[1144]
90,望来,43.35399575,141.49761391,ok,cont-2:id=2384(N2_soss),,[2384]
91,大沢,43.80388369,142.64066842,ok,cont-2:id=2082(N3_vis_al),,[2082]
92,幌向,43.1641759,141.93691021,ok,cont-1:id=975(Pg2_som),,[975]
93,定山渓,42.98475,141.1575278,ok,cont-2:id=2024(N2_vis_al),,[2024]
94,高富（再）,43.25680323,141.44994148,ok,cont-2:id=2389(N3_soss),,[2389]
95,ヌッパの沢,43.26357076,141.88708804,ok,cont-1:id=975(Pg2_som),,[975]
96,一の沢,43.12698416,141.83113252,ok,cont-2:id=2094(N2_soi),,[2094]
97,豊ヶ丘,43.38132423,141.70410786,ok,cont-2:id=1269(N2_som),,[1269]
98,二の沢,43.12425559,141.84690594,ok,cont-2:id=2354(N2_soc),,[2354]
99,岩村,43.78609894,141.83783469,ok,cont-2:id=2395(N3_sbs); cont-5:id=1406(Q32-33_std),500,[1406]
100,白木沢,43.8716625,142.01651212,ok,cont-2:id=1144(N1_som),500,[1144]
101,三の沢第二,43.1789476,141.83382846,ok,cont-2:id=2094(N2_soi),,[2094]
102,江丹別,43.92206496,142.26115053,ok,cont-1:id=175(K122-Pg12_mscma_hc); cont-5:id=1883(H_sad),500,[1883]
103,東桜岡第一,43.77865658,142.51965551,ok,cont-1:id=1055(K_sx_Ki); cont-5:id=1883(H_sad),500,[1883]
104,江部乙第1号,43.61657614,141.98874767,ok,cont-4:id=1645(Q22_std),,[1645]
105,前田の沢,43.21925152,141.86068638,ok,cont-2:id=2354(N2_soc),,[2354]
106,小野の沢,43.22642846,141.86014776,ok,cont-2:id=2354(N2_soc),,[2354]
107,大雪,43.67674193,143.03619337,ok,cont-4:id=2416(Q1-21_sn),,[2416]
108,新成生（元）,44.01044055,142.18662635,ok,cont-1:id=803(J3-K11_pu_o_Jb); cont-5:id=1883(H_sad),500,"[803, 39, 1883, 962, 1406]"
109,雨煙内（再）,44.01044055,142.18662635,ok,cont-1:id=803(J3-K11_pu_o_Jb); cont-5:id=1883(H_sad),500,"[803, 39, 1883, 962, 1406]"
110,幌新,43.88647824,141.93023034,ok,cont-2:id=1144(N1_som),,[1144]
111,漁川,42.84565682,141.44825587,ok,cont-4:id=1645(Q22_std); cont-5:id=2309(Q32_vas_ap),4000,[2309]
112,日新,43.48972222,142.5191667,ok,cont-4:id=2355(Q12_vas_ap),,[2355]
113,豊平峡,42.91572222,141.1536944,ok,cont-2:id=2024(N2_vis_al); cont-3:id=1364(N3_som),500,"[2024, 1364]"
114,野花南,43.44318607,142.23177378,ok,cont-1:id=919(K21_som),,[919]
115,砥山,42.97105556,141.2176111,ok,cont-2:id=1364(N3_som),,[1364]
116,旭町第二,43.07480007,141.9602778,ok,cont-1:id=1110(K12_sosma),,[1110]
117,野花南,43.48842352,142.21927023,ok,cont-1:id=975(Pg2_som); cont-5:id=1883(H_sad),500,"[1883, 975, 919]"
118,月形,43.38238152,141.64634498,ok,cont-2:id=1269(N2_som),,[1269]
119,新区画,43.60055556,142.51248765,ok,cont-4:id=2371(Q11_vas_ap); cont-5:id=1883(H_sad),500,[1883]
120,古川,43.83318847,142.82001949,ok,cont-1:id=1175(K214-Pg1_sx_KPg); cont-2:id=1302(N1_pbd_a); cont-4:id=1940(Q11_vis_ap); cont-5:id=1883(H_sad),500,[1883]
121,金山,43.12956666,142.44263451,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
122,東郷,43.22914088,142.58368466,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
123,美唄,43.35441622,141.97942584,ok,cont-1:id=2030(Pg2_sbs),,[2030]
124,聖台,43.61189162,142.52366856,ok,cont-4:id=2371(Q11_vas_ap); cont-5:id=1883(H_sad),500,[1883]
125,小沢,43.82694002,142.63084319,ok,cont-1:id=1055(K_sx_Ki); cont-2:id=2082(N3_vis_al); cont-5:id=1883(H_sad),500,[1883]
126,日の出,43.48091252,142.49321687,ok,cont-4:id=2355(Q12_vas_ap),,[2355]
127,沼田,43.91082295,141.92609116,ok,cont-2:id=1144(N1_som),,[1144]
128,栗山,43.0753063,141.85538961,ok,cont-2:id=2354(N2_soc),,[2354]
129,ペーパン,43.71413729,142.66519732,ok,cont-2:id=2082(N3_vis_al); cont-3:id=2024(N2_vis_al); cont-4:id=2371(Q11_vas_ap); cont-5:id=1883(H_sad),500,[1883]
130,芦別,43.28449936,142.09949447,ok,cont-1:id=919(K21_som),,[919]
131,徳富,43.59674214,141.61889233,ok,cont-2:id=2082(N3_vis_al),,[2082]
132,当麻,43.87216667,142.5821667,ok,cont-1:id=1055(K_sx_Ki); cont-4:id=2371(Q11_vas_ap); cont-5:id=1883(H_sad),500,"[1055, 834, 1883, 2371, 53]"
133,愛別,43.95405499,142.6326667,ok,cont-1:id=1055(K_sx_Ki); cont-5:id=1883(H_sad),500,[1883]
134,川端,42.91144444,141.91599534,ok,cont-2:id=2354(N2_soc); cont-4:id=1405(Q31_std); cont-5:id=1406(Q32-33_std),500,"[1405, 2354, 1406]"
135,稲田,43.64499964,142.00983952,ok,cont-2:id=2389(N3_soss),,[2389]
136,青山,43.47749832,141.59447851,ok,cont-2:id=2354(N2_soc),,[2354]
137,鷹泊,43.92413889,142.0809167,ok,cont-1:id=803(J3-K11_pu_o_Jb); cont-2:id=1144(N1_som); cont-5:id=1883(H_sad),500,"[803, 1883, 1144]"
138,雨竜第一,44.30060211,142.18224921,ok,cont-2:id=2024(N2_vis_al),,[2024]
139,雨竜土堰堤,44.29275881,142.20386929,ok,cont-2:id=2024(N2_vis_al),,[2024]
140,雨竜第二,44.31702778,142.1572222,ok,cont-2:id=2024(N2_vis_al),,[2024]
141,下幌加内,43.93192315,142.14334587,ok,cont-1:id=803(J3-K11_pu_o_Jb),,[803]
142,エルム,43.60853191,142.08172514,ok,cont-4:id=2080(Q11_vis_al),,[2080]
143,藤沢,43.84525,141.9083333,ok,cont-2:id=2389(N3_soss); cont-5:id=1883(H_sad),500,[1883]
144,しろがね,43.49087592,142.59959684,ok,cont-4:id=2371(Q11_vas_ap),,[2371]
145,福井谷川,43.61760034,141.83571353,ok,cont-2:id=2094(N2_soi),,[2094]
146,上湯内,43.79623111,142.15235989,ok,cont-2:id=1144(N1_som),500,[1144]
147,当別,43.31774666,141.56271673,ok,cont-2:id=2094(N2_soi); cont-5:id=1883(H_sad),500,[1883]
148,和歌,43.62076312,141.70427886,ok,cont-2:id=1144(N1_som); cont-5:id=1883(H_sad),500,[1883]
149,日進甲,43.52122232,141.80633584,ok,cont-2:id=2395(N3_sbs),,[2395]
150,日進乙,43.51372758,141.79061282,ok,cont-2:id=2389(N3_soss),,[2389]
151,滝里,43.4436721,142.28828611,ok,cont-1:id=919(K21_som),,[919]
152,芦別,43.53305346,142.17555543,ok,cont-1:id=2030(Pg2_sbs); cont-5:id=1883(H_sad),500,"[1883, 2030]"
153,江幌,43.49192947,142.41661665,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
154,尾白利加,43.6700327,141.7740785,ok,cont-2:id=2389(N3_soss); cont-3:id=2384(N2_soss); cont-5:id=1883(H_sad),500,[1883]
155,恵岱別,43.74419508,141.71981975,ok,cont-2:id=845(N3_vbs_ai),,[845]
156,新十津川,43.5853207,141.72746781,ok,cont-2:id=2354(N2_soc),,[2354]
157,札比内,43.3987793,141.73031122,ok,cont-2:id=2389(N3_soss),,[2389]
158,新桂沢（再）,43.23994853,142.00282915,ok,cont-1:id=919(K21_som),,[919]
159,桂沢（元）,43.23994853,142.00282915,ok,cont-1:id=919(K21_som),,[919]
160,忠別,43.62745548,142.62993854,ok,cont-2:id=2024(N2_vis_al); cont-4:id=2371(Q11_vas_ap); cont-5:id=1883(H_sad),500,[1883]
161,三笠ぽんべつ,43.27805522,141.98639622,ok,cont-1:id=918(K12_som),,[918]
162,宝池,43.18947222,141.8341667,ok,cont-2:id=2354(N2_soc); cont-3:id=2094(N2_soi); cont-4:id=1405(Q31_std); cont-5:id=1883(H_sad),500,[1883]
163,三の沢第一,43.17388895,141.84170071,ok,cont-2:id=2354(N2_soc),,[2354]
164,大正池,43.18135176,141.78147363,ok,cont-4:id=1405(Q31_std),,[1405]
165,千代谷,43.13792055,141.84311917,ok,cont-2:id=2354(N2_soc),,[2354]
166,清水の沢,43.0071712,141.99033147,ok,cont-1:id=2030(Pg2_sbs),,[2030]
167,夕張シューパロ（再）,43.02302068,142.09889999,ok,cont-1:id=2413(K22_sbss),,[2413]
168,大夕張（元）,43.02462746,142.10106817,ok,cont-1:id=2413(K22_sbss),,[2413]
169,神居,43.60256973,142.34401802,ok,cont-1:id=175(K122-Pg12_mscma_hc),,[175]
170,清水沢,43.00172222,142.0207778,ok,cont-1:id=975(Pg2_som); cont-5:id=1406(Q32-33_std),500,[1406]
171,旭町第一,43.07038889,141.9643056,ok,cont-1:id=2152(K21_sbss),,[2152]
172,クオーベツ,42.89277778,141.9380556,ok,cont-2:id=2354(N2_soc),500,[2354]
173,杵臼（元）,43.05476982,141.86585748,ok,cont-2:id=2354(N2_soc),,[2354]
174,杵臼（再）,43.05476902,141.86586196,ok,cont-2:id=2354(N2_soc),,[2354]
175,千歳第三,42.79623599,141.50569909,ok,cont-2:id=2082(N3_vis_al); cont-5:id=2309(Q32_vas_ap),4000,[2309]
176,千歳第四,42.80422795,141.55559635,ok,cont-5:id=2309(Q32_vas_ap),500,[2309]
177,茂平沢第二,43.27049967,141.55581865,ok,cont-2:id=2389(N3_soss),,[2389]
178,一の沢,42.97334262,141.17762357,ok,cont-2:id=1395(N22_pbd_a),,[1395]
179,朝里,43.13329238,141.04167656,ok,cont-2:id=2024(N2_vis_al),,[2024]
180,奥沢,43.15657336,140.9802866,ok,cont-2:id=2082(N3_vis_al),,[2082]
181,落合,43.09129619,140.89598513,ok,cont-2:id=1364(N3_som),,[1364]
182,常盤,43.103903,140.93393948,ok,cont-2:id=2082(N3_vis_al),,[2082]
183,余市,43.15489784,140.683401,ok,cont-2:id=2376(N2_vas_al),,[2376]
184,共和,43.03569108,140.61476816,ok,cont-1:id=2347(Pg4_vas_al),,[2347]
185,双葉,42.91139315,140.93567387,ok,cont-2:id=2082(N3_vis_al),500,[2082]
186,京極,42.93388665,140.97169986,ok,cont-1:id=1902(Pg4_vis_al),,[1902]
187,真駒内,42.48233326,139.90945467,ok,cont-2:id=1364(N3_som),,[1364]
188,美利河,42.47140927,140.19649058,ok,cont-4:id=1882(Q1-21_so),,[1882]
189,相沼内,42.10044444,140.13394102,ok,cont-2:id=2082(N3_vis_al),,[2082]
190,鰔川,41.9593976,140.23120149,ok,cont-2:id=1931(N3_sosma),,[1931]
191,鶉,41.94976404,140.39174881,ok,cont-2:id=2082(N3_vis_al),,[2082]
192,上ノ国,41.80276449,140.18467415,ok,cont-1:id=872(J2-31_sx_J2),,[872]
193,駒込,40.70977116,140.8858935,ok,cont-2:id=2359(N1_vas_al),,[2359]
194,下湯,40.69177706,140.7794206,ok,cont-2:id=2376(N2_vas_al); cont-3:id=2359(N1_vas_al); cont-4:id=2336(Q2_vas_ap); cont-5:id=2297(Q33_vas_ap),500,[2297]
195,浅虫,40.8852177,140.87187853,ok,cont-2:id=2359(N1_vas_al),,[2359]
196,田の沢溜池,40.89848478,140.99147457,ok,cont-2:id=1269(N2_som); cont-5:id=1883(H_sad),500,[1883]
197,清水目,40.81095483,141.0761136,ok,cont-2:id=2024(N2_vis_al); cont-3:id=2387(N3_vas_al),500,"[2024, 2387]"
198,川内,41.27481613,140.89452316,ok,cont-1:id=905(J24-K11_sx_J3),,[905]
199,天間,40.78833793,141.06398434,ok,cont-2:id=1483(N2_vis_ai),,[1483]
200,作田,40.71379766,141.05657943,ok,cont-2:id=2376(N2_vas_al),,[2376]
201,和田,40.68919736,141.08697872,ok,cont-2:id=2376(N2_vas_al),,[2376]
202,指久保,40.49513837,141.14334789,ok,cont-2:id=2389(N3_soss); cont-5:id=1883(H_sad),500,[1883]
203,四和,40.49966053,141.10442278,ok,cont-2:id=2389(N3_soss),,[2389]
204,二の倉,40.42725155,141.07895535,ok,cont-2:id=1269(N2_som); cont-3:id=2387(N3_vas_al); cont-4:id=1890(Q12_vis_al); cont-5:id=2297(Q33_vas_ap),4000,[2297]
205,又木戸,40.46136509,141.08608302,ok,cont-4:id=1890(Q12_vis_al); cont-5:id=2297(Q33_vas_ap),4000,[2297]
206,荒沢1号,40.01489501,140.93423886,ok,cont-4:id=2371(Q11_vas_ap),,[2371]
207,花木,40.25524492,141.00828962,ok,cont-2:id=2082(N3_vis_al),,[2082]
208,荒沢2号,40.0349038,140.94469647,ok,cont-2:id=2368(N3_vas_ap),,[2368]
209,大志田,40.08911966,141.295592,ok,cont-1:id=872(J2-31_sx_J2); cont-2:id=1949(N1_vis_al); cont-5:id=2396(Q1-H_v_af),500,[2396]
210,荒沢3号,40.04441338,140.9590597,ok,cont-4:id=2371(Q11_vas_ap),,[2371]
211,夏坂,40.2915326,140.98933889,ok,cont-2:id=2376(N2_vas_al),,[2376]
212,雪谷川,40.29122187,141.51657602,ok,cont-1:id=905(J24-K11_sx_J3),,[905]
213,世増,40.38998458,141.48046132,ok,cont-1:id=905(J24-K11_sx_J3),,[905]
214,瀬月内,40.11423973,141.49354424,ok,cont-1:id=2116(P12-J31_soh_J3),,[2116]
215,大野,40.24804742,141.64889641,ok,cont-1:id=905(J24-K11_sx_J3),,[905]
216,滝,40.15156234,141.72347521,ok,cont-1:id=905(J24-K11_sx_J3),,[905]
217,普代,39.99726302,141.90251792,ok,cont-1:id=905(J24-K11_sx_J3),,[905]
218,大沢,39.58696516,141.743976,ok,cont-1:id=2041(C13-J22_soh_J2),,[2041]
219,日向,39.29305883,141.79780325,ok,cont-1:id=1393(J2-31_sosma_J2),500,"[1393, 1586]"
220,綾里川,39.06248953,141.77854687,ok,cont-1:id=1586(K12_vis_al),,[1586]
221,鷹生,39.15562448,141.70200851,ok,cont-1:id=1586(K12_vis_al),,[1586]
222,津付,39.15086647,141.45192493,ok,cont-1:id=522(P2_som),,[522]
223,払川,38.7311855,141.46824005,ok,cont-1:id=615(Tr1-21_som),,[615]
224,田瀬,39.34306829,141.31891754,ok,cont-1:id=292(O-S_pu_a),,[292]
225,時戸沢溜池,39.3399669,140.96441445,ok,cont-2:id=2395(N3_sbs),,[2395]
226,千貫石（再）,39.22470815,141.00924115,ok,cont-4:id=1645(Q22_std); cont-5:id=1406(Q32-33_std),500,[1406]
227,衣川5号,39.00978484,141.06381503,ok,cont-2:id=2384(N2_soss),,[2384]
228,綱取,39.71110004,141.20451153,ok,cont-1:id=512(C1_som_Cb),,[512]
229,小田,38.75503869,140.83998572,ok,cont-4:id=2336(Q2_vas_ap),,[2336]
230,荒砥沢,38.88552101,140.85745005,ok,cont-2:id=2359(N1_vas_al),,[2359]
231,矢櫃,39.61525907,141.00999664,ok,cont-2:id=2376(N2_vas_al),,[2376]
232,金越沢,38.84358037,141.39362506,ok,cont-1:id=1188(P2_soc),,[1188]
233,衣川4号,39.0616057,141.00375228,ok,cont-2:id=2082(N3_vis_al),,[2082]
234,化女沼,38.62695147,140.96406326,ok,cont-4:id=2416(Q1-21_sn),,[2416]
235,入畑,39.23956611,140.95002694,ok,cont-2:id=2376(N2_vas_al),,[2376]
236,外桝沢,39.6136513,140.97019404,ok,cont-2:id=2376(N2_vas_al),,[2376]
237,岩崎農場溜池,39.26107163,140.98724293,ok,cont-4:id=1645(Q22_std),,[1645]
238,宿の沢,38.67192244,140.97223394,ok,cont-4:id=2336(Q2_vas_ap),,[2336]
239,鳴子,38.75454365,140.70471907,ok,cont-1:id=1884(K12_pim_a),,[1884]
240,岩洞,39.82679473,141.37323759,ok,cont-1:id=872(J2-31_sx_J2),,[872]
241,鶯宿,39.61389926,140.8936164,ok,cont-2:id=2376(N2_vas_al); cont-3:id=880(N2_vbs_al),500,"[2376, 880]"
242,遠野,39.30618786,141.53544745,ok,cont-1:id=1884(K12_pim_a),,[1884]
243,衣川2号,39.00407118,141.01302929,ok,cont-2:id=2368(N3_vas_ap); cont-3:id=2395(N3_sbs); cont-5:id=1883(H_sad),500,[1883]
244,葛丸,39.51291492,141.0528598,ok,cont-2:id=2376(N2_vas_al),,[2376]
245,レン滝,39.56958861,140.91279603,ok,cont-2:id=1949(N1_vis_al),,[1949]
246,石羽根,39.30510017,140.95407764,ok,cont-2:id=1181(N2_sbm),,[1181]
247,湯田,39.30173922,140.88493783,ok,cont-1:id=1884(K12_pim_a),,[1884]
248,四十四田,39.7526307,141.14862412,ok,cont-1:id=512(C1_som_Cb),,[512]
249,簗川,39.67276626,141.26279591,ok,cont-1:id=512(C1_som_Cb),,[512]
250,相川,38.79558201,141.28305557,ok,cont-1:id=7(P1_sol),,[7]
251,早池峰,39.53198738,141.33924365,ok,cont-1:id=368(O3-D1_som),,[368]
252,橇引沢溜池,39.21427899,141.01064417,ok,cont-4:id=1645(Q22_std),,[1645]
253,菅生,38.72387853,140.85919778,ok,cont-4:id=2336(Q2_vas_ap),,[2336]
254,山王海（元）,39.54744659,141.0633809,ok,cont-2:id=2387(N3_vas_al),,[2387]
255,山王海（再）,39.54744659,141.0633809,ok,cont-2:id=2387(N3_vas_al),,[2387]
256,御所,39.69343515,141.02896881,ok,cont-2:id=1949(N1_vis_al); cont-4:id=1405(Q31_std); cont-5:id=1883(H_sad),500,[1883]
257,一方井,40.01426546,141.13322629,ok,cont-2:id=2387(N3_vas_al); cont-5:id=2396(Q1-H_v_af),2000,[2396]
258,佐比内溜池,39.30156507,141.66068506,ok,cont-1:id=1586(K12_vis_al),,[1586]
259,遠野第2,39.31945071,141.5294559,ok,cont-1:id=1884(K12_pim_a),,[1884]
260,豊沢,39.48054508,140.97435245,ok,cont-1:id=1993(K21_pim_a),,[1993]
261,煙山,39.61631124,141.09909455,ok,cont-2:id=1949(N1_vis_al); cont-5:id=1406(Q32-33_std),500,"[1406, 1949]"
262,千松,38.80088489,141.4134144,ok,cont-1:id=537(P3_som),,[537]
263,衣川1号,39.09984931,140.96610984,ok,cont-2:id=2395(N3_sbs),,[2395]
264,大明神溜池,39.51707193,141.10146424,ok,cont-2:id=2361(N3_sns); cont-3:id=1949(N1_vis_al); cont-5:id=1406(Q32-33_std),500,[1406]
265,石淵（元）,39.1131354,140.90373327,ok,cont-2:id=2368(N3_vas_ap),,[2368]
266,胆沢（再）,39.12208425,140.92075302,ok,cont-2:id=2368(N3_vas_ap),,[2368]
267,外山,39.77544677,141.283478,ok,cont-1:id=872(J2-31_sx_J2),500,[872]
